frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.93, 1, 0.00, 0.00, 0.81, 0.00, 0.00, 0.00, 0.00, 0.23, 0.16, 0.00, 0.00, 1.41, 0.00, 0.00, 0.89, 0.77, 2.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
2, 0, 0.038, 0.93, 1, 0.00, 0.00, 0.71, 0.00, 0.00, 0.00, 0.00, 0.13, 0.14, 0.00, 0.00, 1.09, 0.00, 0.00, 1.03, 0.50, 1.89, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
3, 0, 0.075, 0.93, 1, 0.00, 0.00, 0.65, 0.00, 0.00, 0.00, 0.00, 0.08, 0.20, 0.00, 0.00, 0.90, 0.00, 0.00, 1.11, 0.32, 1.61, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
4, 0, 0.113, 0.93, 1, 0.00, 0.00, 0.46, 0.00, 0.00, 0.00, 0.00, 0.08, 0.24, 0.01, 0.00, 0.76, 0.00, 0.00, 0.96, 0.19, 1.49, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
5, 0, 0.151, 0.93, 1, 0.00, 0.00, 0.53, 0.00, 0.00, 0.00, 0.00, 0.03, 0.20, 0.01, 0.00, 0.58, 0.00, 0.00, 0.87, 0.12, 1.86, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
6, 0, 0.189, 0.93, 1, 0.00, 0.00, 0.48, 0.00, 0.00, 0.00, 0.00, 0.00, 0.17, 0.14, 0.00, 0.53, 0.00, 0.00, 0.55, 0.05, 2.31, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
7, 0, 0.226, 0.93, 1, 0.00, 0.00, 0.52, 0.00, 0.00, 0.00, 0.00, 0.00, 0.21, 0.13, 0.00, 0.68, 0.00, 0.07, 0.31, 0.00, 2.60, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
8, 0, 0.264, 0.93, 1, 0.00, 0.00, 0.34, 0.00, 0.00, 0.00, 0.00, 0.00, 0.22, 0.23, 0.00, 1.12, 0.00, 0.07, 0.06, 0.00, 2.54, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
9, 0, 0.302, 0.93, 1, 0.00, 0.00, 0.27, 0.00, 0.00, 0.00, 0.00, 0.00, 0.23, 0.22, 0.00, 1.41, 0.00, 0.07, 0.00, 0.00, 2.41, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
10, 0, 0.339, 0.93, 1, 0.00, 0.03, 0.45, 0.00, 0.00, 0.00, 0.00, 0.00, 0.15, 0.47, 0.00, 1.63, 0.00, 0.11, 0.01, 0.00, 2.33, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
11, 0, 0.377, 0.93, 1, 0.00, 0.03, 0.62, 0.00, 0.00, 0.00, 0.00, 0.11, 0.11, 0.73, 0.00, 1.76, 0.00, 0.21, 0.07, 0.00, 2.55, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
12, 0, 0.415, 0.93, 1, 0.00, 0.03, 0.73, 0.00, 0.00, 0.00, 0.00, 0.22, 0.08, 1.04, 0.00, 1.95, 0.00, 0.33, 0.16, 0.00, 2.66, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
13, 0, 0.453, 0.93, 1, 0.00, 0.00, 0.78, 0.00, 0.00, 0.00, 0.00, 0.31, 0.14, 1.42, 0.00, 1.98, 0.00, 0.23, 0.23, 0.00, 2.67, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
