frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.14, 0.22, 0.00, 1.03, 0.47, 0.09, 0.00, 0.86, 0.00, 0.27, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 0, 0.038, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.34, 0.25, 0.00, 1.25, 0.31, 0.57, 0.03, 0.83, 0.00, 0.09, 0.00, 0.14, 0.29, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3, 0, 0.076, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.32, 0.24, 0.00, 1.35, 0.25, 0.95, 0.15, 0.72, 0.00, 0.06, 0.00, 0.40, 0.51, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4, 0, 0.113, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.22, 0.21, 0.00, 1.45, 0.28, 1.45, 0.27, 0.80, 0.19, 0.09, 0.00, 0.55, 0.51, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5, 0, 0.151, 0.98, 1, 0.11, 0.00, 0.00, 0.00, 0.07, 0.22, 0.00, 1.81, 0.32, 2.01, 0.44, 1.10, 0.27, 0.09, 0.00, 0.89, 0.71, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6, 0, 0.189, 0.98, 1, 0.13, 0.00, 0.00, 0.00, 0.04, 0.16, 0.00, 2.04, 0.23, 2.32, 0.33, 1.30, 0.30, 0.18, 0.00, 0.67, 0.57, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7, 0, 0.227, 0.88, 1, 0.15, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 1.86, 0.13, 2.32, 0.20, 1.17, 0.36, 0.30, 0.00, 0.52, 0.43, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8, 0, 0.264, 0.88, 1, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.52, 0.01, 2.30, 0.23, 0.84, 0.49, 0.43, 0.00, 0.34, 0.08, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9, 0, 0.302, 0.98, 1, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.24, 0.21, 2.12, 0.23, 1.00, 0.59, 0.52, 0.20, 0.67, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10, 0, 0.340, 0.88, 1, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.05, 0.38, 1.79, 0.23, 1.43, 0.92, 0.57, 0.20, 0.60, 0.08, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
