frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 1.16, 0.41, 0.38, 1.35, 0.00, 0.72, 0.38, 0.00, 0.00, 0.00, 0.00, 0.40, 0.00, 0.39, 0.91, 0.10, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 0, 0.038, 0.98, 1, 1.19, 0.36, 0.50, 1.44, 0.00, 0.51, 0.28, 0.10, 0.00, 0.00, 0.23, 0.69, 0.00, 0.48, 0.75, 0.06, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3, 0, 0.076, 0.98, 1, 1.16, 0.22, 0.54, 1.35, 0.00, 0.27, 0.20, 0.18, 0.00, 0.00, 0.36, 0.87, 0.00, 0.53, 0.65, 0.08, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4, 0, 0.113, 0.98, 1, 1.08, 0.05, 0.38, 1.31, 0.00, 0.07, 0.21, 0.24, 0.00, 0.00, 0.44, 0.89, 0.00, 0.55, 0.55, 0.20, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5, 0, 0.151, 0.98, 1, 1.00, 0.11, 0.34, 1.34, 0.00, 0.09, 0.14, 0.36, 0.00, 0.00, 0.74, 0.79, 0.00, 0.49, 0.68, 0.17, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6, 0, 0.189, 0.98, 1, 0.98, 0.33, 0.29, 1.55, 0.00, 0.22, 0.09, 0.36, 0.01, 0.00, 0.91, 0.63, 0.00, 0.41, 0.85, 0.14, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7, 0, 0.227, 0.98, 1, 0.99, 0.40, 0.38, 1.52, 0.00, 0.19, 0.01, 0.43, 0.05, 0.00, 0.97, 0.42, 0.00, 0.32, 1.05, 0.03, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8, 0, 0.265, 0.98, 1, 1.05, 0.76, 0.50, 1.58, 0.00, 0.22, 0.12, 0.34, 0.05, 0.00, 0.69, 0.40, 0.00, 0.28, 1.20, 0.03, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9, 0, 0.302, 0.98, 1, 1.05, 0.81, 0.59, 1.53, 0.00, 0.29, 0.14, 0.39, 0.04, 0.00, 0.53, 0.37, 0.04, 0.23, 1.09, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10, 0, 0.340, 0.98, 1, 0.99, 0.73, 0.48, 1.45, 0.00, 0.26, 0.19, 0.40, 0.00, 0.00, 0.65, 0.46, 0.04, 0.24, 1.00, 0.10, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
