frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.66, 0.38, 0.15, 0.00, 0.47, 0.00, 0.00, 0.39, 1.36, 0.00, 0.23, 0.00, 0.00, 0.14, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 0, 0.038, 0.98, 1, 0.00, 0.00, 0.00, 0.75, 0.16, 0.05, 0.00, 0.62, 0.00, 0.00, 0.13, 1.11, 0.03, 0.08, 0.00, 0.00, 0.29, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
3, 0, 0.075, 0.98, 1, 0.00, 0.00, 0.00, 0.71, 0.11, 0.00, 0.00, 0.68, 0.00, 0.00, 0.00, 1.00, 0.03, 0.02, 0.00, 0.00, 0.33, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
4, 0, 0.113, 0.98, 1, 0.00, 0.00, 0.00, 0.45, 0.14, 0.00, 0.00, 0.79, 0.00, 0.00, 0.14, 1.07, 0.03, 0.04, 0.00, 0.00, 0.35, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
5, 0, 0.150, 0.98, 1, 0.00, 0.00, 0.00, 0.27, 0.25, 0.00, 0.00, 0.76, 0.02, 0.00, 0.14, 1.02, 0.00, 0.08, 0.00, 0.00, 0.27, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
6, 0, 0.188, 0.98, 1, 0.00, 0.00, 0.00, 0.22, 0.20, 0.00, 0.00, 0.76, 0.09, 0.00, 0.14, 0.81, 0.00, 0.06, 0.00, 0.00, 0.29, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
7, 0, 0.226, 0.98, 1, 0.14, 0.00, 0.00, 0.22, 0.17, 0.00, 0.00, 0.78, 0.16, 0.00, 0.00, 0.45, 0.00, 0.04, 0.00, 0.00, 0.29, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
8, 0, 0.263, 0.98, 1, 0.27, 0.00, 0.00, 0.13, 0.04, 0.00, 0.00, 0.94, 0.18, 0.00, 0.00, 0.32, 0.01, 0.00, 0.00, 0.00, 0.33, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
9, 0, 0.301, 0.98, 1, 0.37, 0.00, 0.00, 0.02, 0.01, 0.00, 0.00, 1.09, 0.11, 0.00, 0.06, 0.47, 0.45, 0.09, 0.00, 0.17, 0.36, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
10, 0, 0.339, 0.98, 1, 0.36, 0.00, 0.00, 0.02, 0.00, 0.00, 0.00, 0.72, 0.04, 0.00, 0.52, 1.27, 0.96, 0.15, 0.00, 1.03, 0.36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
11, 0, 0.376, 0.98, 1, 0.36, 0.00, 0.00, 0.05, 0.00, 0.00, 0.00, 0.69, 0.07, 0.00, 1.42, 1.78, 1.31, 0.21, 0.00, 1.11, 0.38, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
12, 0, 0.414, 0.88, 1, 0.46, 0.00, 0.00, 0.07, 0.00, 0.00, 0.00, 0.75, 0.07, 0.00, 2.37, 2.71, 1.12, 0.29, 0.00, 1.11, 0.43, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
13, 0, 0.451, 0.88, 1, 0.66, 0.00, 0.00, 0.07, 0.00, 0.00, 0.00, 0.80, 0.07, 0.00, 2.77, 2.98, 0.90, 0.48, 0.00, 0.42, 0.49, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
14, 0, 0.489, 0.98, 1, 0.82, 0.00, 0.00, 0.04, 0.00, 0.00, 0.00, 0.48, 0.00, 0.00, 2.85, 3.61, 1.03, 0.64, 0.00, 0.42, 0.58, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
15, 0, 0.527, 0.93, 1, 1.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.05, 0.00, 0.00, 2.69, 3.65, 1.56, 0.70, 0.00, 0.62, 0.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
16, 0, 0.564, 0.98, 1, 0.99, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3.13, 3.77, 2.12, 0.92, 0.00, 0.51, 0.30, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
17, 0, 0.602, 0.88, 1, 0.90, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.79, 3.99, 2.11, 1.25, 0.00, 0.75, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
18, 0, 0.640, 0.88, 1, 0.58, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.26, 4.16, 1.59, 1.53, 0.00, 1.19, 0.39, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
19, 0, 0.677, 0.98, 1, 0.41, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.28, 4.34, 1.17, 1.56, 0.00, 1.99, 0.62, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
20, 0, 0.715, 0.98, 1, 0.38, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.73, 4.54, 1.24, 1.42, 0.00, 2.87, 0.64, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
21, 0, 0.752, 0.88, 1, 0.31, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.03, 0.06, 0.46, 4.54, 1.34, 1.36, 0.00, 3.26, 0.48, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
22, 0, 0.790, 0.88, 1, 0.32, 0.00, 0.00, 0.15, 0.00, 0.00, 0.00, 0.00, 0.06, 0.12, 0.15, 4.44, 1.37, 1.24, 0.00, 3.38, 0.47, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
23, 0, 0.828, 0.88, 1, 0.14, 0.00, 0.00, 0.15, 0.00, 0.00, 0.00, 0.00, 0.18, 0.25, 0.05, 4.08, 1.22, 1.25, 0.00, 3.37, 0.67, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
24, 0, 0.865, 0.98, 1, 0.09, 0.00, 0.00, 0.24, 0.00, 0.00, 0.00, 0.05, 0.31, 0.21, 0.00, 3.89, 1.41, 1.25, 0.00, 3.32, 0.87, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
25, 0, 0.903, 0.88, 1, 0.00, 0.00, 0.00, 0.20, 0.00, 0.00, 0.00, 0.05, 0.40, 0.18, 0.00, 3.89, 1.49, 1.37, 0.00, 3.35, 0.80, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
26, 0, 0.940, 0.88, 1, 0.00, 0.00, 0.00, 0.28, 0.00, 0.00, 0.00, 0.08, 0.48, 0.05, 0.00, 3.82, 1.42, 1.37, 0.00, 3.07, 0.94, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
27, 0, 0.978, 0.88, 1, 0.00, 0.00, 0.00, 0.44, 0.00, 0.00, 0.00, 0.03, 0.53, 0.16, 0.00, 3.79, 1.34, 1.43, 0.00, 2.77, 0.80, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
