frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.88, 1, 0.18, 0.00, 0.00, 0.59, 0.00, 0.00, 0.00, 0.00, 0.00, 0.11, 0.61, 2.26, 0.39, 1.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 0, 0.039, 0.93, 1, 0.39, 0.00, 0.00, 0.57, 0.00, 0.00, 0.00, 0.00, 0.05, 0.46, 0.53, 1.66, 0.21, 0.91, 0.00, 0.03, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
3, 0, 0.077, 0.93, 1, 0.48, 0.00, 0.00, 0.74, 0.00, 0.00, 0.00, 0.00, 0.06, 0.43, 0.52, 1.48, 0.16, 0.77, 0.00, 0.03, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
4, 0, 0.116, 0.93, 1, 0.53, 0.00, 0.00, 0.94, 0.00, 0.00, 0.00, 0.00, 0.07, 0.11, 0.42, 1.67, 0.18, 0.69, 0.00, 0.10, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
5, 0, 0.155, 0.98, 1, 0.44, 0.00, 0.00, 1.06, 0.00, 0.00, 0.00, 0.00, 0.05, 0.37, 0.31, 1.28, 0.26, 0.62, 0.00, 0.10, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
6, 0, 0.193, 0.98, 1, 0.37, 0.09, 0.00, 1.02, 0.00, 0.08, 0.00, 0.00, 0.04, 0.61, 0.11, 0.97, 0.27, 0.57, 0.00, 0.14, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
7, 0, 0.232, 0.98, 1, 0.32, 0.09, 0.00, 1.12, 0.00, 0.28, 0.00, 0.00, 0.00, 0.68, 0.08, 0.78, 0.31, 0.62, 0.00, 0.04, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
8, 0, 0.270, 0.93, 1, 0.42, 0.09, 0.00, 0.76, 0.00, 0.42, 0.06, 0.00, 0.04, 0.55, 0.04, 0.90, 0.17, 0.60, 0.00, 0.04, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
9, 0, 0.309, 0.98, 1, 0.54, 0.00, 0.00, 0.44, 0.00, 0.51, 0.13, 0.00, 0.06, 0.44, 0.12, 0.95, 0.08, 0.55, 0.00, 0.01, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10, 0, 0.348, 0.98, 1, 0.71, 0.13, 0.00, 0.21, 0.00, 0.87, 0.13, 0.00, 0.06, 0.27, 0.33, 1.06, 0.01, 0.51, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
