frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.36, 0.32, 0.34, 0.00, 0.27, 0.29, 0.00, 0.00, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 0, 0.038, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.06, 0.35, 0.18, 0.39, 0.00, 0.13, 0.40, 0.00, 0.00, 0.01, 0.00, 0.34, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3, 0, 0.075, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.06, 0.40, 0.07, 0.39, 0.00, 0.04, 0.46, 0.10, 0.00, 0.00, 0.00, 0.51, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4, 0, 0.113, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.40, 0.00, 0.48, 0.00, 0.00, 0.41, 0.16, 0.00, 0.00, 0.00, 0.62, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
5, 0, 0.151, 0.93, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.45, 0.15, 0.53, 0.00, 0.00, 0.46, 0.16, 0.00, 0.00, 0.00, 0.86, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
6, 0, 0.189, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.39, 0.30, 0.54, 0.03, 0.00, 0.48, 0.06, 0.00, 0.00, 0.00, 1.07, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
7, 0, 0.226, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.40, 0.36, 0.37, 0.03, 0.00, 0.43, 0.08, 0.00, 0.00, 0.00, 1.15, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
8, 0, 0.264, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.37, 0.29, 0.25, 0.03, 0.00, 0.34, 0.08, 0.00, 0.00, 0.00, 1.06, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
9, 0, 0.302, 0.93, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.39, 0.21, 0.28, 0.00, 0.00, 0.24, 0.08, 0.00, 0.00, 0.00, 0.91, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
10, 0, 0.339, 0.88, 1, 0.00, 0.00, 0.00, 0.04, 0.00, 0.00, 0.54, 0.44, 0.45, 0.00, 0.00, 0.16, 0.00, 0.00, 0.05, 0.00, 0.57, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
