frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.19, 0.00, 0.69, 0.00, 0.00, 0.60, 0.00, 1.65, 0.25, 1.53, 0.00, 0.53, 1.30, 0.64, 1.08, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
2, 0, 0.037, 0.98, 1, 0.00, 0.00, 0.67, 0.00, 0.75, 0.00, 0.00, 0.40, 0.00, 1.20, 0.11, 1.52, 0.00, 0.48, 1.47, 0.62, 1.42, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
3, 0, 0.075, 0.98, 1, 0.00, 0.00, 0.64, 0.00, 0.78, 0.00, 0.00, 0.55, 0.00, 0.69, 0.33, 1.50, 0.00, 0.52, 1.32, 0.40, 1.41, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00
4, 0, 0.112, 0.98, 1, 0.00, 0.00, 0.19, 0.05, 0.91, 0.00, 0.00, 0.67, 0.00, 0.14, 0.33, 1.70, 0.00, 0.55, 1.15, 0.39, 1.31, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
5, 0, 0.150, 0.98, 1, 0.00, 0.00, 0.03, 0.21, 0.88, 0.00, 0.00, 0.65, 0.06, 0.14, 1.26, 1.52, 0.00, 0.36, 0.84, 0.33, 1.05, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
6, 0, 0.187, 0.98, 1, 0.00, 0.00, 0.00, 0.36, 0.77, 0.00, 0.00, 0.42, 0.21, 0.10, 1.07, 1.61, 0.00, 0.13, 1.12, 0.41, 0.98, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
7, 0, 0.225, 0.98, 1, 0.00, 0.00, 0.00, 0.53, 0.61, 0.00, 0.00, 0.51, 0.34, 0.09, 1.41, 1.51, 0.00, 0.08, 1.15, 0.29, 0.79, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
8, 0, 0.262, 0.98, 1, 0.00, 0.00, 0.00, 0.63, 0.50, 0.00, 0.00, 0.56, 0.40, 0.14, 0.57, 1.39, 0.00, 0.04, 1.56, 0.09, 0.88, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
9, 0, 0.299, 0.98, 1, 0.00, 0.00, 0.00, 0.77, 0.45, 0.00, 0.00, 0.52, 0.41, 0.19, 0.45, 1.20, 0.00, 0.04, 1.56, 0.01, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
10, 0, 0.337, 0.98, 1, 0.00, 0.00, 0.00, 1.00, 0.29, 0.00, 0.00, 0.42, 0.29, 0.12, 0.99, 0.96, 0.00, 0.04, 1.10, 0.00, 0.98, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
11, 0, 0.374, 0.98, 1, 0.00, 0.00, 0.00, 1.20, 0.14, 0.00, 0.00, 0.27, 0.21, 0.14, 1.32, 0.79, 0.00, 0.04, 0.56, 0.00, 0.92, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
12, 0, 0.412, 0.98, 1, 0.00, 0.00, 0.00, 1.33, 0.05, 0.00, 0.00, 0.19, 0.09, 0.10, 1.49, 0.72, 0.00, 0.04, 0.08, 0.00, 0.74, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
13, 0, 0.449, 0.98, 1, 0.00, 0.00, 0.00, 1.48, 0.02, 0.00, 0.00, 0.05, 0.10, 0.08, 0.62, 0.52, 0.00, 0.00, 0.47, 0.00, 0.77, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
14, 0, 0.487, 0.98, 1, 0.00, 0.00, 0.00, 1.74, 0.00, 0.00, 0.00, 0.07, 0.05, 0.00, 0.17, 0.31, 0.00, 0.00, 0.91, 0.00, 0.74, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
15, 0, 0.524, 0.98, 1, 0.00, 0.00, 0.00, 1.70, 0.00, 0.00, 0.00, 0.14, 0.01, 0.25, 0.23, 0.00, 0.00, 0.00, 1.29, 0.00, 0.72, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
