frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.24, 0.12, 0.00, 0.00, 0.00, 0.43, 0.00, 0.00, 0.00, 0.28, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 0, 0.038, 0.98, 1, 0.17, 0.44, 0.00, 0.50, 0.00, 0.05, 0.15, 0.09, 0.02, 0.00, 0.03, 0.33, 0.00, 0.00, 0.00, 0.33, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
3, 0, 0.075, 0.98, 1, 0.33, 0.62, 0.00, 0.75, 0.00, 0.05, 0.13, 0.09, 0.05, 0.00, 0.03, 0.18, 0.00, 0.00, 0.00, 0.38, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4, 0, 0.113, 0.98, 1, 0.50, 0.79, 0.00, 0.76, 0.00, 0.22, 0.24, 0.17, 0.11, 0.00, 0.25, 0.07, 0.00, 0.00, 0.00, 0.39, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
5, 0, 0.151, 0.98, 1, 0.50, 0.70, 0.00, 0.63, 0.00, 0.30, 0.17, 0.15, 0.08, 0.00, 0.37, 0.40, 0.00, 0.00, 0.00, 0.39, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
6, 0, 0.189, 0.98, 1, 0.33, 0.56, 0.00, 0.56, 0.00, 0.33, 0.12, 0.17, 0.06, 0.00, 0.44, 0.71, 0.00, 0.00, 0.00, 0.39, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
7, 0, 0.226, 0.98, 1, 0.15, 0.22, 0.00, 0.47, 0.00, 0.16, 0.06, 0.20, 0.00, 0.00, 0.23, 0.87, 0.00, 0.00, 0.00, 0.46, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
8, 0, 0.264, 0.98, 1, 0.00, 0.04, 0.00, 0.78, 0.00, 0.03, 0.11, 0.25, 0.00, 0.00, 0.18, 0.69, 0.00, 0.00, 0.00, 0.50, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
9, 0, 0.302, 0.98, 1, 0.28, 0.21, 0.12, 0.90, 0.00, 0.00, 0.14, 0.29, 0.00, 0.00, 0.18, 0.54, 0.00, 0.00, 0.00, 0.36, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
10, 0, 0.339, 0.98, 1, 0.43, 0.25, 0.12, 0.83, 0.00, 0.00, 0.09, 0.18, 0.00, 0.00, 0.18, 0.39, 0.00, 0.00, 0.00, 0.17, 0.11, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
