frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.88, 1, 0.00, 0.00, 0.00, 0.68, 0.25, 0.73, 0.00, 0.18, 0.00, 0.00, 0.00, 0.63, 0.00, 0.00, 1.36, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
2, 0, 0.037, 0.88, 1, 0.00, 0.00, 0.14, 0.42, 0.32, 0.75, 0.00, 0.09, 0.06, 0.21, 0.00, 0.58, 0.00, 0.00, 1.12, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
3, 0, 0.074, 0.88, 1, 0.00, 0.00, 0.16, 0.31, 0.35, 0.71, 0.00, 0.05, 0.10, 0.30, 0.00, 0.61, 0.00, 0.00, 0.97, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
4, 0, 0.111, 0.88, 1, 0.00, 0.00, 0.10, 0.39, 0.25, 0.52, 0.00, 0.14, 0.06, 0.37, 0.00, 0.53, 0.00, 0.00, 0.96, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
5, 0, 0.148, 0.88, 1, 0.00, 0.00, 0.29, 0.27, 0.28, 0.73, 0.00, 0.31, 0.09, 0.44, 0.00, 0.39, 0.00, 0.00, 1.11, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
6, 0, 0.186, 0.88, 1, 0.00, 0.00, 0.50, 0.54, 0.22, 0.91, 0.00, 0.43, 0.07, 0.51, 0.00, 0.23, 0.00, 0.00, 1.24, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
7, 0, 0.223, 0.88, 1, 0.00, 0.00, 0.60, 0.70, 0.22, 0.92, 0.00, 0.38, 0.07, 0.46, 0.00, 0.25, 0.00, 0.00, 1.30, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
8, 0, 0.260, 0.88, 1, 0.00, 0.00, 0.49, 1.11, 0.08, 0.62, 0.00, 0.41, 0.06, 0.53, 0.00, 0.22, 0.00, 0.00, 1.28, 0.00, 0.14, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
9, 0, 0.297, 0.88, 1, 0.00, 0.00, 0.35, 1.14, 0.03, 0.39, 0.00, 0.45, 0.05, 0.56, 0.00, 0.21, 0.00, 0.00, 1.26, 0.00, 0.30, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
10, 0, 0.334, 0.88, 1, 0.00, 0.00, 0.27, 1.01, 0.00, 0.29, 0.00, 0.62, 0.05, 0.54, 0.00, 0.14, 0.00, 0.00, 1.48, 0.00, 0.51, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
