frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.88, 1, 0.00, 0.00, 0.22, 0.00, 0.00, 0.46, 0.00, 0.43, 0.23, 0.41, 0.12, 1.00, 0.00, 0.15, 0.00, 0.77, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
2, 0, 0.038, 0.88, 1, 0.00, 0.00, 0.07, 0.00, 0.00, 0.80, 0.00, 0.51, 0.24, 0.14, 0.36, 0.62, 0.00, 0.05, 0.00, 0.26, 0.01, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
3, 0, 0.076, 0.88, 1, 0.00, 0.03, 0.00, 0.00, 0.00, 0.89, 0.00, 0.55, 0.28, 0.07, 0.49, 0.42, 0.00, 0.00, 0.00, 0.14, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
4, 0, 0.114, 0.88, 1, 0.00, 0.03, 0.00, 0.00, 0.00, 0.80, 0.00, 0.54, 0.34, 0.08, 0.35, 0.62, 0.00, 0.00, 0.00, 0.22, 0.05, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
5, 0, 0.151, 0.88, 1, 0.00, 0.03, 0.10, 0.00, 0.00, 0.52, 0.00, 0.42, 0.32, 0.11, 0.26, 0.47, 0.28, 0.00, 0.04, 0.22, 0.05, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
6, 0, 0.189, 0.88, 1, 0.00, 0.00, 0.13, 0.00, 0.00, 0.38, 0.00, 0.33, 0.28, 0.09, 0.12, 0.32, 0.42, 0.00, 0.05, 0.09, 0.05, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
7, 0, 0.227, 0.88, 1, 0.00, 0.00, 0.17, 0.01, 0.00, 0.44, 0.00, 0.24, 0.23, 0.12, 0.10, 0.00, 0.64, 0.00, 0.05, 0.04, 0.05, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
8, 0, 0.265, 0.88, 1, 0.00, 0.00, 0.13, 0.01, 0.00, 0.67, 0.00, 0.35, 0.27, 0.11, 0.03, 0.00, 0.51, 0.00, 0.01, 0.05, 0.11, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
9, 0, 0.303, 0.88, 1, 0.00, 0.00, 0.10, 0.08, 0.00, 0.69, 0.00, 0.36, 0.26, 0.07, 0.00, 0.00, 0.40, 0.00, 0.03, 0.05, 0.21, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
10, 0, 0.341, 0.88, 1, 0.00, 0.00, 0.06, 0.17, 0.00, 0.40, 0.00, 0.46, 0.26, 0.08, 0.11, 0.19, 0.18, 0.00, 0.03, 0.01, 0.28, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
