frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.80, 2.12, 0.66, 0.68, 0.48, 0.00, 0.09, 0.00, 0.00, 0.00, 1.36, 0.59, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
2, 0, 0.038, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.85, 1.93, 0.50, 0.76, 0.39, 0.00, 0.24, 0.00, 0.28, 0.00, 1.31, 0.77, 0.27, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00
3, 0, 0.077, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.88, 1.80, 0.36, 0.79, 0.39, 0.00, 0.33, 0.00, 0.40, 0.00, 1.28, 0.88, 0.43, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
4, 0, 0.115, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.92, 1.90, 0.33, 0.79, 0.42, 0.00, 0.28, 0.00, 0.34, 0.00, 1.23, 0.81, 0.46, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
5, 0, 0.153, 0.98, 1, 0.00, 0.00, 0.01, 0.00, 0.94, 1.94, 0.40, 0.93, 0.34, 0.00, 0.17, 0.00, 0.34, 0.00, 1.29, 0.66, 0.37, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
6, 0, 0.192, 0.98, 1, 0.00, 0.00, 0.01, 0.00, 0.94, 2.03, 0.48, 1.01, 0.27, 0.00, 0.05, 0.00, 0.42, 0.00, 1.32, 0.58, 0.41, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
7, 0, 0.230, 0.98, 1, 0.00, 0.00, 0.11, 0.00, 0.92, 2.01, 0.46, 1.07, 0.22, 0.00, 0.02, 0.00, 0.51, 0.00, 1.25, 0.58, 0.46, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
8, 0, 0.269, 0.98, 1, 0.00, 0.00, 0.10, 0.00, 0.87, 1.98, 0.49, 1.04, 0.24, 0.00, 0.07, 0.00, 0.61, 0.00, 1.19, 0.58, 0.50, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
9, 0, 0.307, 0.98, 1, 0.00, 0.00, 0.10, 0.00, 0.86, 1.93, 0.46, 1.01, 0.23, 0.00, 0.28, 0.00, 0.73, 0.00, 1.12, 0.48, 0.39, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
10, 0, 0.345, 0.93, 1, 0.00, 0.00, 0.10, 0.02, 0.90, 1.92, 0.46, 0.91, 0.19, 0.00, 0.25, 0.00, 0.72, 0.00, 1.22, 0.66, 0.36, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
11, 0, 0.384, 0.98, 1, 0.00, 0.00, 0.10, 0.05, 0.91, 1.82, 0.39, 0.93, 0.18, 0.01, 0.21, 0.00, 0.63, 0.00, 1.24, 0.84, 0.49, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00
12, 0, 0.422, 0.98, 1, 0.00, 0.00, 0.13, 0.06, 0.83, 1.55, 0.26, 1.04, 0.15, 0.01, 0.05, 0.00, 0.51, 0.00, 1.18, 1.05, 0.98, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00
13, 0, 0.460, 0.93, 1, 0.00, 0.00, 0.03, 0.04, 0.64, 0.96, 0.14, 1.22, 0.23, 0.19, 0.05, 0.00, 0.62, 0.00, 1.07, 1.06, 1.23, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00
14, 0, 0.499, 0.93, 1, 0.00, 0.00, 0.10, 0.02, 0.52, 0.75, 0.10, 1.21, 0.23, 0.29, 0.16, 0.00, 0.72, 0.00, 0.96, 0.96, 1.46, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00
