frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.88, 1, 0.00, 0.00, 0.08, 0.11, 0.00, 0.00, 0.00, 0.54, 0.35, 0.55, 0.83, 2.86, 0.00, 0.00, 0.29, 1.22, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 0, 0.037, 0.88, 1, 0.00, 0.00, 0.03, 0.04, 0.00, 0.07, 0.00, 0.92, 0.60, 0.18, 0.66, 2.13, 0.00, 0.00, 0.99, 1.47, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
3, 0, 0.075, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.07, 0.00, 1.00, 0.63, 0.01, 0.43, 1.87, 0.00, 0.00, 1.07, 1.62, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
4, 0, 0.112, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.07, 0.00, 1.05, 0.62, 0.15, 0.24, 2.06, 0.00, 0.00, 0.88, 1.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5, 0, 0.150, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.15, 0.00, 1.12, 0.70, 0.15, 0.29, 2.26, 0.00, 0.00, 0.79, 1.82, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6, 0, 0.187, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.27, 0.02, 1.38, 0.87, 0.14, 0.61, 2.39, 0.00, 0.00, 0.97, 1.70, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7, 0, 0.225, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.60, 0.01, 1.36, 0.95, 0.00, 1.16, 2.59, 0.00, 0.00, 1.07, 1.38, 0.13, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8, 0, 0.262, 0.88, 1, 0.00, 0.00, 0.00, 0.02, 0.00, 0.61, 0.01, 1.29, 0.99, 0.00, 1.53, 2.67, 0.00, 0.00, 1.10, 1.18, 0.21, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9, 0, 0.300, 0.88, 1, 0.00, 0.00, 0.00, 0.02, 0.00, 0.49, 0.00, 1.17, 0.99, 0.00, 1.62, 2.75, 0.00, 0.00, 1.44, 1.18, 0.21, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
10, 0, 0.337, 0.88, 1, 0.00, 0.00, 0.00, 0.02, 0.00, 0.19, 0.08, 1.20, 1.00, 0.00, 1.29, 2.49, 0.00, 0.00, 1.47, 1.06, 0.20, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
