frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.00, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 0, 0.038, 0.00, 0, 0.00, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 0.48, 0.06, 0.00, 0.91, 0.86, 0.00, 0.00, 0.34, 0.58, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3, 0, 0.075, 0.88, 1, 0.00, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 0.89, 0.32, 0.28, 0.91, 1.42, 0.00, 0.00, 0.34, 0.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
4, 0, 0.113, 0.88, 1, 0.00, 0.00, 0.02, 0.04, 0.00, 0.00, 0.00, 1.28, 0.61, 0.60, 0.91, 1.69, 0.00, 0.00, 0.34, 0.79, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5, 0, 0.151, 0.88, 1, 0.00, 0.00, 0.00, 0.04, 0.00, 0.00, 0.00, 1.36, 0.83, 0.86, 0.00, 1.25, 0.00, 0.00, 0.00, 0.47, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6, 0, 0.189, 0.88, 1, 0.00, 0.00, 0.00, 0.04, 0.00, 0.00, 0.00, 1.39, 0.89, 0.91, 0.00, 1.03, 0.00, 0.00, 0.00, 0.45, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
7, 0, 0.226, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.45, 0.92, 1.04, 0.00, 1.09, 0.00, 0.00, 0.00, 0.56, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
8, 0, 0.264, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.29, 0.92, 1.25, 0.00, 0.95, 0.00, 0.00, 0.00, 0.30, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
9, 0, 0.302, 0.88, 1, 0.00, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 1.27, 0.92, 1.36, 0.00, 0.78, 0.00, 0.00, 0.00, 0.11, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
10, 0, 0.339, 0.88, 1, 0.00, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 1.16, 0.95, 1.35, 0.00, 0.50, 0.00, 0.00, 0.00, 0.15, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11, 0, 0.377, 0.88, 1, 0.00, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 1.09, 1.02, 1.22, 0.00, 0.36, 0.00, 0.00, 0.06, 0.28, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12, 0, 0.415, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.91, 1.00, 1.23, 0.00, 0.35, 0.00, 0.00, 0.06, 0.49, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
13, 0, 0.452, 0.88, 1, 0.00, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 0.89, 0.94, 1.22, 0.00, 0.44, 0.00, 0.00, 0.06, 0.37, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
14, 0, 0.490, 0.88, 1, 0.00, 0.00, 0.14, 0.05, 0.00, 0.00, 0.00, 0.93, 0.78, 1.18, 0.00, 0.44, 0.00, 0.00, 0.00, 0.29, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
15, 0, 0.528, 0.88, 1, 0.00, 0.00, 0.28, 0.05, 0.00, 0.00, 0.00, 1.05, 0.70, 1.06, 0.00, 0.50, 0.00, 0.00, 0.00, 0.28, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
16, 0, 0.566, 0.88, 1, 0.00, 0.00, 0.27, 0.05, 0.00, 0.00, 0.00, 1.16, 0.67, 0.92, 0.00, 0.66, 0.00, 0.00, 0.00, 0.62, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
17, 0, 0.603, 0.88, 1, 0.00, 0.00, 0.14, 0.00, 0.00, 0.00, 0.00, 1.16, 0.74, 0.90, 0.00, 0.74, 0.00, 0.00, 0.00, 0.95, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
18, 0, 0.641, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.27, 0.76, 0.90, 0.00, 0.76, 0.00, 0.00, 0.00, 1.04, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
19, 0, 0.679, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.38, 0.87, 0.82, 0.00, 0.65, 0.00, 0.00, 0.00, 0.98, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
20, 0, 0.716, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.03, 0.00, 0.00, 1.58, 0.99, 0.63, 0.00, 0.68, 0.00, 0.00, 0.00, 1.03, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
21, 0, 0.754, 0.88, 1, 0.00, 0.00, 0.01, 0.00, 0.03, 0.00, 0.00, 1.52, 1.14, 0.53, 0.00, 0.71, 0.00, 0.00, 0.00, 1.10, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
22, 0, 0.792, 0.88, 1, 0.00, 0.00, 0.07, 0.00, 0.03, 0.00, 0.00, 1.38, 1.17, 0.57, 0.00, 0.76, 0.00, 0.00, 0.00, 1.06, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
23, 0, 0.829, 0.88, 1, 0.00, 0.00, 0.07, 0.00, 0.00, 0.00, 0.00, 1.29, 1.15, 0.66, 0.00, 0.66, 0.00, 0.00, 0.00, 0.96, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
24, 0, 0.867, 0.88, 1, 0.00, 0.00, 0.06, 0.00, 0.00, 0.00, 0.00, 1.41, 1.14, 0.63, 0.00, 0.61, 0.00, 0.00, 0.03, 0.93, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
25, 0, 0.905, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.13, 0.00, 0.00, 1.53, 1.24, 0.88, 0.00, 0.70, 0.00, 0.00, 0.07, 1.08, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
26, 0, 0.943, 0.88, 1, 0.00, 0.00, 0.00, 0.01, 0.22, 0.00, 0.00, 1.49, 1.29, 1.23, 0.00, 0.79, 0.00, 0.00, 0.07, 1.26, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
27, 0, 0.980, 0.88, 1, 0.00, 0.00, 0.00, 0.01, 0.29, 0.00, 0.00, 1.54, 1.37, 1.46, 0.00, 0.88, 0.00, 0.00, 0.05, 1.18, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
28, 0, 1.018, 0.88, 1, 0.00, 0.00, 0.00, 0.01, 0.17, 0.00, 0.00, 1.55, 1.27, 1.45, 0.00, 0.88, 0.00, 0.00, 0.05, 1.06, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
29, 0, 1.056, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 1.61, 1.25, 1.24, 0.00, 1.02, 0.00, 0.00, 0.05, 0.83, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
30, 0, 1.093, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.06, 0.00, 0.00, 1.47, 1.06, 1.32, 0.00, 1.26, 0.00, 0.00, 0.05, 1.03, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
31, 0, 1.131, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.07, 0.00, 0.00, 1.33, 0.87, 1.12, 0.00, 1.41, 0.00, 0.00, 0.01, 1.19, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
32, 0, 1.169, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 1.22, 0.66, 1.09, 0.00, 1.35, 0.00, 0.00, 0.00, 1.32, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
33, 0, 1.207, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.23, 0.00, 0.00, 1.29, 0.71, 1.12, 0.00, 1.25, 0.00, 0.00, 0.00, 1.25, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
34, 0, 1.244, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.30, 0.00, 0.00, 1.44, 0.83, 1.36, 0.00, 1.16, 0.00, 0.00, 0.00, 1.21, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
35, 0, 1.282, 0.88, 1, 0.00, 0.00, 0.00, 0.05, 0.24, 0.00, 0.00, 1.39, 0.87, 1.49, 0.00, 1.32, 0.00, 0.00, 0.00, 1.01, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
36, 0, 1.320, 0.88, 1, 0.00, 0.00, 0.00, 0.05, 0.14, 0.00, 0.00, 1.31, 0.83, 1.45, 0.00, 1.38, 0.00, 0.00, 0.00, 0.72, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
37, 0, 1.357, 0.88, 1, 0.00, 0.00, 0.00, 0.05, 0.08, 0.00, 0.00, 1.32, 0.78, 1.36, 0.00, 1.42, 0.00, 0.00, 0.00, 0.41, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
38, 0, 1.395, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.06, 0.00, 0.00, 1.52, 0.83, 1.50, 0.00, 1.37, 0.00, 0.00, 0.00, 0.54, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
39, 0, 1.433, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.06, 0.00, 0.00, 1.59, 0.79, 1.65, 0.00, 1.34, 0.00, 0.00, 0.00, 0.76, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
40, 0, 1.470, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.01, 0.00, 0.00, 1.45, 0.75, 1.66, 0.00, 1.38, 0.00, 0.00, 0.00, 0.74, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
41, 0, 1.508, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.31, 0.71, 1.51, 0.00, 1.38, 0.00, 0.00, 0.00, 0.57, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
42, 0, 1.546, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.20, 0.65, 1.27, 0.00, 1.54, 0.00, 0.00, 0.00, 0.39, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
43, 0, 1.584, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.28, 0.69, 1.34, 0.00, 1.61, 0.00, 0.00, 0.00, 0.52, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
44, 0, 1.621, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.02, 0.00, 0.00, 1.38, 0.83, 1.30, 0.00, 1.61, 0.00, 0.00, 0.00, 0.60, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
45, 0, 1.659, 0.88, 1, 0.00, 0.00, 0.04, 0.00, 0.03, 0.00, 0.00, 1.62, 0.97, 1.51, 0.00, 1.39, 0.00, 0.00, 0.00, 0.65, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
46, 0, 1.697, 0.88, 1, 0.00, 0.00, 0.04, 0.00, 0.03, 0.00, 0.00, 1.61, 1.00, 1.55, 0.00, 1.18, 0.00, 0.00, 0.00, 0.71, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
47, 0, 1.734, 0.88, 1, 0.00, 0.00, 0.04, 0.00, 0.04, 0.00, 0.00, 1.54, 0.93, 1.68, 0.00, 0.97, 0.00, 0.00, 0.00, 0.65, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
48, 0, 1.772, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.10, 0.00, 0.00, 1.38, 0.94, 1.54, 0.00, 0.83, 0.00, 0.00, 0.00, 0.51, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
49, 0, 1.810, 0.88, 1, 0.00, 0.00, 0.00, 0.00, 0.10, 0.00, 0.00, 1.34, 0.96, 1.48, 0.00, 0.96, 0.00, 0.00, 0.00, 0.36, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
50, 0, 1.848, 0.88, 1, 0.00, 0.00, 0.00, 0.04, 0.07, 0.00, 0.00, 1.40, 1.02, 1.38, 0.00, 1.14, 0.09, 0.00, 0.00, 0.49, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
51, 0, 1.885, 0.88, 1, 0.00, 0.00, 0.00, 0.04, 0.00, 0.00, 0.00, 1.51, 1.05, 1.33, 0.00, 1.27, 0.18, 0.00, 0.00, 0.69, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
52, 0, 1.923, 0.88, 1, 0.00, 0.00, 0.00, 0.11, 0.00, 0.00, 0.00, 1.48, 1.12, 1.36, 0.00, 1.29, 0.18, 0.00, 0.00, 0.84, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
