frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.66, 0.00, 0.00, 0.00, 0.00, 0.00, 0.13, 0.00, 0.71, 0.00, 0.00, 0.32, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 0, 0.038, 0.98, 1, 0.00, 0.00, 0.68, 0.00, 0.00, 0.00, 0.00, 0.00, 0.09, 0.00, 0.80, 0.00, 0.00, 0.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3, 0, 0.076, 0.98, 1, 0.00, 0.00, 0.58, 0.00, 0.00, 0.00, 0.00, 0.00, 0.07, 0.00, 0.77, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4, 0, 0.114, 0.98, 1, 0.00, 0.00, 0.54, 0.00, 0.00, 0.00, 0.00, 0.00, 0.07, 0.00, 0.70, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5, 0, 0.152, 0.98, 1, 0.00, 0.00, 0.48, 0.00, 0.00, 0.00, 0.00, 0.00, 0.05, 0.03, 0.82, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6, 0, 0.190, 0.98, 1, 0.00, 0.10, 0.51, 0.00, 0.00, 0.00, 0.00, 0.00, 0.03, 0.03, 0.97, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7, 0, 0.228, 0.93, 1, 0.00, 0.11, 0.35, 0.00, 0.00, 0.00, 0.00, 0.00, 0.01, 0.03, 0.98, 0.00, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8, 0, 0.267, 0.93, 1, 0.14, 0.24, 0.37, 0.00, 0.00, 0.00, 0.00, 0.00, 0.01, 0.00, 1.06, 0.00, 0.00, 0.02, 0.00, 0.06, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9, 0, 0.305, 0.93, 1, 0.25, 0.29, 0.32, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.02, 0.00, 0.00, 0.02, 0.00, 0.14, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10, 0, 0.343, 0.93, 1, 0.25, 0.27, 0.31, 0.00, 0.00, 0.00, 0.00, 0.00, 0.05, 0.00, 0.88, 0.05, 0.00, 0.12, 0.00, 0.14, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11, 0, 0.381, 0.93, 1, 0.11, 0.14, 0.29, 0.00, 0.00, 0.00, 0.00, 0.00, 0.10, 0.00, 0.76, 0.05, 0.00, 0.17, 0.00, 0.18, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12, 0, 0.419, 0.93, 1, 0.00, 0.00, 0.26, 0.04, 0.00, 0.00, 0.00, 0.00, 0.11, 0.00, 0.82, 0.16, 0.00, 0.30, 0.00, 0.10, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
13, 0, 0.457, 0.93, 1, 0.03, 0.00, 0.23, 0.18, 0.00, 0.00, 0.00, 0.00, 0.06, 0.00, 0.97, 0.26, 0.00, 0.40, 0.00, 0.10, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
14, 0, 0.495, 0.93, 1, 0.08, 0.00, 0.25, 0.23, 0.00, 0.00, 0.00, 0.00, 0.01, 0.00, 1.14, 0.46, 0.00, 0.54, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
15, 0, 0.533, 0.93, 1, 0.08, 0.00, 0.31, 0.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.01, 0.34, 0.00, 0.52, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
16, 0, 0.571, 0.93, 1, 0.10, 0.00, 0.29, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.09, 0.19, 0.00, 0.43, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
17, 0, 0.609, 0.93, 1, 0.05, 0.00, 0.23, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.05, 0.01, 0.00, 0.36, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
18, 0, 0.647, 0.93, 1, 0.15, 0.09, 0.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.16, 0.06, 0.00, 0.33, 0.00, 0.04, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
19, 0, 0.685, 0.93, 1, 0.24, 0.46, 0.15, 0.16, 0.00, 0.00, 0.00, 0.00, 0.04, 0.00, 0.97, 0.23, 0.00, 0.28, 0.00, 0.11, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
20, 0, 0.724, 0.93, 1, 0.38, 0.57, 0.38, 0.16, 0.00, 0.00, 0.00, 0.00, 0.04, 0.00, 0.81, 0.31, 0.00, 0.20, 0.00, 0.33, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
21, 0, 0.762, 0.98, 1, 0.43, 0.62, 0.65, 0.16, 0.00, 0.00, 0.00, 0.00, 0.04, 0.00, 0.75, 0.39, 0.00, 0.16, 0.00, 0.49, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
22, 0, 0.800, 0.98, 1, 0.49, 0.33, 0.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.01, 0.00, 0.90, 0.24, 0.00, 0.13, 0.00, 0.65, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
